Date,Open,High,Low,Close,Volume
2005-01-20,311.75,314.25,311.00,313.50,34940514
2005-01-21,314.75,314.75,312.00,312.25,32770923
2005-01-24,312.00,312.50,309.00,311.25,20365210
2005-01-25,310.00,311.50,306.50,307.75,52476561
2005-01-26,308.25,309.25,305.00,306.00,50761230
2005-01-27,306.50,308.00,305.00,308.00,26454911
2005-01-28,308.00,309.50,305.50,307.00,27954966
2005-01-31,307.25,312.75,307.25,308.25,26431269
2005-02-01,308.50,309.75,307.00,309.00,60129813
2005-02-02,309.75,312.00,308.75,311.75,31862621
2005-02-03,312.00,316.25,311.25,316.25,34591383
2005-02-04,315.75,316.50,310.00,311.25,31707432
2005-02-07,315.50,315.50,307.75,312.25,28716249
2005-02-08,311.00,314.75,311.00,314.75,24168379
2005-02-09,314.75,315.50,311.00,312.50,26621052
2005-02-10,312.50,314.25,310.50,313.25,17183070
2005-02-11,312.75,316.50,312.75,315.50,40048053
2005-02-14,314.00,316.50,313.00,313.75,26126162
2005-02-15,313.25,314.00,310.75,312.75,20049884
2005-02-16,310.50,315.25,310.50,315.00,33024947
2005-02-17,314.25,316.00,311.00,311.50,20835231
2005-02-18,312.00,312.00,309.50,310.50,37072901
2005-02-21,310.50,310.50,303.00,304.75,62808960
2005-02-22,304.50,306.00,302.00,304.75,41396226
2005-02-23,301.50,306.25,301.50,303.25,47245249
2005-02-24,303.75,309.75,303.25,307.00,39112169
2005-02-25,308.50,310.50,305.25,308.50,31510653
2005-02-28,309.25,310.75,305.00,305.25,39818265
2005-03-01,306.50,307.50,304.50,305.50,32770366
2005-03-02,306.25,308.50,304.00,308.50,39966267
2005-03-03,308.75,308.75,305.75,306.25,27054317
2005-03-04,307.00,308.00,305.00,308.00,22947588
2005-03-07,308.00,309.00,304.50,305.25,16582731
2005-03-08,305.50,306.00,303.00,305.00,24401818
2005-03-09,305.50,310.00,304.50,308.75,48601609
2005-03-10,309.00,317.25,314.50,314.50,59064877
2005-03-11,315.50,317.00,314.25,315.25,51821437
2005-03-14,314.25,315.75,311.00,314.00,32825261
2005-03-15,313.00,315.25,312.50,313.00,28713330
2005-03-16,311.50,313.00,309.75,312.75,30898403
2005-03-17,312.75,313.50,310.25,313.00,38580816
2005-03-18,312.00,316.75,312.00,316.50,31468783
2005-03-21,316.00,316.50,314.00,315.50,18720810
2005-03-22,315.50,318.00,313.25,318.00,39910671
2005-03-23,315.75,319.25,315.75,318.75,28239311
2005-03-24,318.00,318.00,315.00,316.75,31196795
2005-03-29,317.00,319.00,314.75,319.00,36912626
2005-03-30,318.00,321.00,317.00,321.00,40431076
2005-03-31,322.50,322.50,316.50,316.50,57547346
2005-04-01,316.00,319.00,315.25,317.25,24902634
2005-04-04,317.50,317.75,315.00,315.00,20613150
2005-04-05,315.75,317.50,312.00,314.00,49164235
2005-04-06,315.25,316.25,313.50,315.50,15513291
2005-04-07,315.25,317.50,315.00,316.25,17639369
2005-04-08,317.75,318.50,316.25,317.00,29300619
2005-04-11,317.00,319.75,316.75,318.75,18697792
2005-04-12,315.00,319.00,313.50,318.50,45273858
2005-04-13,319.25,326.00,318.50,325.50,50155030
2005-04-14,323.75,328.00,323.75,325.00,22481263
2005-04-15,321.25,324.75,321.25,323.25,28626359
2005-04-18,320.00,322.00,319.00,321.00,44979317
2005-04-19,320.25,323.50,320.25,323.25,35615181
2005-04-20,320.00,320.00,314.25,314.25,34461934
2005-04-21,313.75,318.00,312.75,312.75,31316443
2005-04-22,315.00,315.75,312.75,313.00,25749326
